idMonitoramento;porcentagem;dataHora;componente;
1;2.9;23/10/2023 20:44;cpu;
2;39.1;23/10/2023 20:44;disco;
3;50.4;23/10/2023 20:44;ram;
4;4.4;23/10/2023 20:45;cpu;
5;39.1;23/10/2023 20:45;disco;
6;54.8;23/10/2023 20:45;ram;
7;3.0;23/10/2023 20:45;cpu;
8;39.1;23/10/2023 20:45;disco;
9;53.7;23/10/2023 20:45;ram;
10;2.7;23/10/2023 20:46;cpu;
11;39.1;23/10/2023 20:46;disco;
12;53.1;23/10/2023 20:46;ram;
13;4.0;23/10/2023 20:46;cpu;
14;39.1;23/10/2023 20:46;disco;
15;52.9;23/10/2023 20:46;ram;
16;2.5;23/10/2023 20:47;cpu;
17;39.1;23/10/2023 20:47;disco;
18;52.8;23/10/2023 20:47;ram;
19;2.1;23/10/2023 20:47;cpu;
20;39.1;23/10/2023 20:47;disco;
21;52.5;23/10/2023 20:47;ram;
22;1.8;23/10/2023 20:48;cpu;
23;39.1;23/10/2023 20:48;disco;
24;52.5;23/10/2023 20:48;ram;
25;4.3;23/10/2023 20:48;cpu;
26;39.1;23/10/2023 20:48;disco;
27;52.8;23/10/2023 20:48;ram;
28;2.5;23/10/2023 20:49;cpu;
29;39.1;23/10/2023 20:49;disco;
30;52.8;23/10/2023 20:49;ram;
31;7.1;23/10/2023 20:49;cpu;
32;39.1;23/10/2023 20:49;disco;
33;54.0;23/10/2023 20:49;ram;
34;5.8;23/10/2023 20:50;cpu;
35;39.2;23/10/2023 20:50;disco;
36;60.1;23/10/2023 20:50;ram;
37;11.3;23/10/2023 20:50;cpu;
38;39.3;23/10/2023 20:50;disco;
39;64.1;23/10/2023 20:50;ram;
40;24.7;23/10/2023 20:51;cpu;
41;39.2;23/10/2023 20:51;disco;
42;67.0;23/10/2023 20:51;ram;
43;100.0;23/10/2023 20:52;cpu;
44;39.2;23/10/2023 20:52;disco;
45;79.3;23/10/2023 20:52;ram;
46;100.0;23/10/2023 20:52;cpu;
47;39.2;23/10/2023 20:52;disco;
48;84.7;23/10/2023 20:52;ram;
49;5.9;23/10/2023 20:53;cpu;
50;39.2;23/10/2023 20:53;disco;
51;85.1;23/10/2023 20:53;ram;
52;3.1;23/10/2023 20:53;cpu;
53;39.3;23/10/2023 20:53;disco;
54;84.7;23/10/2023 20:53;ram;
55;2.7;23/10/2023 20:54;cpu;
56;39.3;23/10/2023 20:54;disco;
57;84.1;23/10/2023 20:54;ram;
58;32.6;23/10/2023 20:54;cpu;
59;39.3;23/10/2023 20:54;disco;
60;63.4;23/10/2023 20:54;ram;
61;2.5;23/10/2023 20:55;cpu;
62;39.3;23/10/2023 20:55;disco;
63;59.6;23/10/2023 20:55;ram;
